Comment,Designator,Footprint,LCSC
LM2901,U1,SOIC-14_3.9x8.7mm_P1.27mm,C7932
MountingHole,H4,MountingHole_2.2mm_M2_DIN965,
MountingHole,H3,MountingHole_2.2mm_M2_DIN965,
MountingHole,H2,MountingHole_2.2mm_M2_DIN965,
MountingHole,H1,MountingHole_2.2mm_M2_DIN965,
VCC CLIP,J3,Banana_Jack_1Pin,
1N4148W,D1,D_SOD-123,
100K,R19,R_0805_2012Metric,
200R,R10,R_0805_2012Metric,
2N3906,Q5,TO-92_Inline,
C_Small,C5,C_0805_2012Metric,
1N4148W,D5,D_SOD-123,
100K,R7,R_0805_2012Metric,
2N3906,Q1,TO-92_Inline,
C_Small,C6,C_0805_2012Metric,
10K,R24,R_0805_2012Metric,
30K,R17,R_0805_2012Metric,
4.7M,R18,R_0805_2012Metric,
4.7M,R8,R_0805_2012Metric,
20K,R20,R_0805_2012Metric,
C_Small,C7,C_0805_2012Metric,
SW_SPDT,SW2,SW_Slide_1P2T_CK_OS102011MS2Q,
PROBE,J1,Banana_Jack_1Pin,
100pF,C4,C_0805_2012Metric,
C_Small,C1,C_0805_2012Metric,
100K,R2,R_0805_2012Metric,
100K,R4,R_0805_2012Metric,
4.7M,R22,R_0805_2012Metric,
100K,R11,R_0805_2012Metric,
2N3906,Q4,TO-92_Inline,
200R,R3,R_0805_2012Metric,
SW_SPDT,SW1,SW_Slide_1P2T_CK_OS102011MS2Q,
120K,R9,R_0805_2012Metric,
GND CLIP,J2,Banana_Jack_1Pin,
CLK,D6,LED_D3.0mm_FlatTop,
20K,R13,R_0805_2012Metric,
15K,R12,R_0805_2012Metric,
2N3904,Q2,TO-92_Inline,
100K,R1,R_0805_2012Metric,
HIGH,D8,LED_D3.0mm_FlatTop,
2N3904,Q3,TO-92_Inline,
2K,R14,R_0805_2012Metric,
220R,R6,R_0805_2012Metric,
4.7K,R15,R_0805_2012Metric,
200R,R23,R_0805_2012Metric,
1N4148W,D7,D_SOD-123,
1N4148W,D3,D_SOD-123,
1N4148W,D2,D_SOD-123,
30K,R16,R_0805_2012Metric,
1N4002,D9,D_SOD-123,
LOW,D4,LED_D3.0mm_FlatTop,
C_Small,C3,C_0805_2012Metric,
30K,R5,R_0805_2012Metric,
C_Small,C2,C_0805_2012Metric,
5.1K,R21,R_0805_2012Metric,
